ID,Treatment,nSF,Max_Stages_Reached,n_L_SF1,n_L_SF2,Alive,Contamination,Exclude,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,FW_L_Rest,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,N_Other,N_No,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Forks,Crossings,Length_Fine,SA_Fine,Vol_Fine
07052024002,Control,3,6,4,3,yes,no,no,1.7,8.1,6.4,3.4331,0.7017,1.5723,0.7017,0.4304,0.1862,0.2848,0.1511,0.855,0.3644,,,,,1.7679,0.575,1.2822,0.453,0.3824,0.122,26.26,56.544,0,0,0,100,459.39,72.23,0.5,0.9,1166,1993,350,408.8214,35.682,0.3869
07052024003,Control,3,6,3,4,yes,no,no,2.2,6.9,4.7,3.0406,0.6085,1.3052,0.6085,0.3381,0.1495,0.2668,0.1356,0.6458,0.2919,0.048,0.032,,,1.5968,0.554,1.175,0.432,0.3141,0.122,21.482,44.844,0,0,0,100,486.76,71.65,0.47,0.84,1371,1977,324,446.4069,39.9444,0.4579
07052024004,Control,,,,,no,no,yes,3.6,3.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07052024005,Control,3,6,1,5,yes,no,no,1.8,6.9,5.1,1.9658,0.4094,0.955,0.4094,0.1885,0.0735,0.1431,0.0899,0.6023,0.2367,0.017,0.009,,,0.9119,0.259,0.7753,0.221,0.1364,0.038,14.152,46.2,0,0,0,100,213.02,36.52,0.55,0.5,513,793,122,181.6019,15.4914,0.1517
07052024006,Control,2,4,5,3,yes,no,no,3.6,9.8,6.2,3.0174,0.7575,1.6382,0.7575,0.4501,0.1961,0.3285,0.1873,0.7711,0.3242,0.0811,0.05,,,1.2449,0.42,0.9136,0.336,0.2324,0.085,37.369,56.539,0,0,0,100,612.62,64.1,0.33,0.53,2034,3649,770,585.015,41.2818,0.4102
07052024007,Control,3,5,4,2,yes,no,no,5.5,7,1.5,2.0608,0.4554,0.862,0.4554,0.3493,0.1727,0.1735,0.1065,0.1414,0.0613,0.1666,0.11,0.0118,0.005,1.1989,0.414,0.7791,0.33,0.2364,0.084,16.916,7.764,0,0,0,100,686.72,64.26,0.3,0.48,2340,4755,1234,655.292,39.8331,0.3596
07052024008,Control,2,2,0,3,yes,no,no,2.2,4.5,2.3,1.3886,0.1776,0.3832,0.1776,0.1741,0.0801,,,0.1964,0.0925,,,0.0124,0.005,1.0024,0.307,0.6826,0.244,0.2011,0.063,,15.022,0,0,0,100,454.23,46.88,0.33,0.39,1553,2834,682,434.7304,29.9474,0.2936
07052024009,Control,2,4,4,3,yes,no,no,2.3,7.4,5.1,2.5788,0.6117,1.3633,0.6117,0.334,0.1388,0.294,0.1681,0.6591,0.2654,0.0551,0.039,,,1.1639,0.376,0.9054,0.324,0.1503,0.052,35.646,50.654,0,0,0,100,363.74,41.63,0.36,0.38,1349,2111,407,333.9467,21.559,0.2083
07052024010,Control,3,4,4,3,yes,no,no,2.7,7.9,5.2,2.9349,0.7,1.4736,0.7,0.4429,0.1917,0.319,0.198,0.6719,0.2881,0.0322,0.022,,,1.4546,0.433,0.9358,0.332,0.3192,0.1,36.913,48.964,0,0,0,100,612.99,66.9,0.35,0.58,2182,3735,671,571.779,40.662,0.4266
07052024011,Control,3,6,4,5,yes,no,no,2.8,6.6,3.8,2.4805,0.4921,1.1045,0.4921,0.3213,0.1349,0.1688,0.0838,0.5803,0.2642,0.0107,0.006,0.0139,0.003,1.3723,0.399,0.8972,0.312,0.3109,0.087,14.869,43.073,0,0,0,100,458.52,54.76,0.38,0.52,1580,2620,546,419.9249,29.1758,0.293
